1.0,-0.03,1
0.82,-0.17,1
0.8,-0.18,1
0.77,-0.21,1
0.76,-0.22,1
0.74,-0.22,1
0.72,-0.23,1
0.71,-0.24,1
0.69,-0.24,1
0.67,-0.24,1
0.64,-0.24,1
0.62,-0.23,1
0.57,-0.21,1
0.55,-0.2,1
0.54,-0.18,1
0.53,-0.17,2
0.5,-0.12,2
0.49,-0.09,1
0.48,-0.07,1
0.48,-0.02,1
0.48,0.0,1
0.49,0.06,3
0.54,0.19,1
0.57,0.23,1
0.6,0.26,1
0.68,0.34,1
0.74,0.37,2
0.81,0.4,1
0.99,0.42,1
1.1,0.4,1
1.22,0.34,1
1.33,0.23,1
1.4,0.06,1
1.39,-0.13,1
1.29,-0.3,1
1.11,-0.41,1
0.92,-0.41,1
0.8,0.34,1
1.49,0.17,1
0.65,-0.11,1
0.64,-0.13,1
0.63,-0.15,1
0.61,-0.17,1
0.59,-0.18,1
0.58,-0.19,1
0.57,-0.2,1
0.56,-0.2,1
0.55,-0.21,1
0.53,-0.21,1
0.52,-0.22,1
0.51,-0.22,2
0.49,-0.22,1
0.48,-0.22,1
0.46,-0.22,1
0.45,-0.21,1
0.44,-0.21,2
0.43,-0.21,1
0.42,-0.2,1
0.41,-0.2,1
0.4,-0.19,1
0.39,-0.18,1
0.38,-0.18,1
0.37,-0.16,1
0.36,-0.15,1
0.36,-0.14,1
0.34,-0.12,1
0.34,-0.11,1
0.33,-0.08,1
0.33,-0.07,1
0.32,-0.06,2
0.32,-0.04,1
0.32,-0.02,1
0.32,0.02,1
0.32,0.03,1
0.32,0.05,1
0.33,0.06,1
0.34,0.1,1
0.35,0.14,1
0.37,0.17,1
0.39,0.21,1
0.53,0.35,1
0.56,0.37,1
0.63,0.41,2
0.77,0.45,1
0.82,0.45,1
0.88,0.45,2
0.94,0.45,1
1.0,0.43,1
1.14,0.37,1
1.2,0.32,1
1.26,0.25,1
1.31,0.17,1
1.34,0.07,1
1.35,-0.04,1
1.33,-0.15,1
1.28,-0.25,1
1.21,-0.33,1
1.12,-0.39,1
1.02,-0.42,1
0.92,-0.43,1
0.82,-0.4,1
0.66,-0.29,1
0.56,0.01,1
1.31,0.44,1
1.54,-0.26,1
0.77,-0.39,1
1.05,0.49,1
1.08,0.46,1
1.11,0.43,1
1.14,0.39,1
1.17,0.35,1
1.19,0.31,1
1.23,0.22,1
1.25,0.17,1
1.26,0.12,1
1.27,0.07,1
1.27,-0.03,1
1.27,-0.08,1
1.26,-0.13,1
1.25,-0.18,1
1.23,-0.23,1
1.04,-0.5,1
1.0,-0.53,1
0.96,-0.56,1
0.92,-0.58,1
0.88,-0.59,1
0.72,-0.63,2
0.68,-0.63,2
0.64,-0.63,2
0.57,-0.62,1
0.53,-0.61,1
0.38,-0.54,2
0.12,0.05,2
0.13,0.08,1
0.13,0.12,2
0.14,0.16,2
0.15,0.2,3
0.17,0.29,1
0.33,0.62,1
0.44,0.76,1
0.51,0.83,1
0.61,0.92,1
1.1,1.16,1
1.38,1.2,1
1.75,1.15,1
2.17,0.93,1
2.53,0.47,1
2.62,-0.21,1
2.31,-0.84,1
1.78,-1.17,1
1.26,-1.21,1
0.88,-1.07,1
0.62,-0.88,1
0.46,-0.67,1
0.31,0.29,1
0.49,0.71,2
1.56,1.41,1
1.15,-1.35,1
0.38,0.42,1
0.4,0.42,1
0.42,0.42,1
0.44,0.43,1
0.46,0.43,1
0.48,0.43,1
0.5,0.43,1
0.54,0.43,1
0.56,0.43,1
0.58,0.42,1
0.61,0.42,1
0.65,0.41,1
0.67,0.4,1
0.72,0.38,1
0.76,0.36,1
0.78,0.34,1
0.81,0.33,1
0.83,0.31,1
0.85,0.29,1
0.87,0.27,1
0.88,0.25,1
0.9,0.23,1
0.92,0.21,1
0.94,0.15,1
0.95,0.13,1
0.96,0.1,1
0.97,0.07,1
0.98,0.04,1
0.98,0.01,1
0.97,-0.08,1
0.97,-0.11,1
0.96,-0.13,1
0.95,-0.16,1
0.93,-0.19,1
0.92,-0.21,1
0.9,-0.23,1
0.88,-0.26,1
0.84,-0.29,1
0.82,-0.31,1
0.79,-0.32,1
0.77,-0.33,1
0.72,-0.34,1
0.69,-0.35,1
0.67,-0.35,1
0.62,-0.34,1
0.59,-0.33,1
0.57,-0.33,1
0.55,-0.32,1
0.51,-0.29,1
0.49,-0.27,2
0.47,-0.25,1
0.41,-0.14,1
0.39,-0.06,1
0.39,-0.03,2
0.39,0.01,2
0.39,0.07,1
0.45,0.23,2
0.51,0.32,1
0.55,0.37,2
0.59,0.42,1
0.66,0.47,1
0.73,0.51,1
0.83,0.55,1
1.09,0.58,1
1.26,0.54,1
1.44,0.43,1
1.59,0.23,1
1.64,-0.06,1
1.54,-0.34,1
1.31,-0.54,1
1.03,-0.58,1
0.79,-0.51,1
0.63,-0.35,1
0.54,0.13,1
1.79,0.14,1
0.55,-0.07,2
0.54,-0.08,2
0.54,-0.09,1
0.53,-0.1,1
0.52,-0.1,1
0.51,-0.11,2
0.5,-0.11,1
0.49,-0.12,2
0.47,-0.12,1
0.45,-0.12,2
0.44,-0.11,2
0.43,-0.11,1
0.43,-0.1,1
0.41,-0.09,1
0.41,-0.08,2
0.4,-0.07,1
0.4,-0.05,1
0.39,-0.02,2
0.39,-0.01,1
0.39,0.0,1
0.39,0.02,1
0.4,0.04,1
0.4,0.05,1
0.4,0.06,1
0.41,0.07,1
0.41,0.08,3
0.43,0.12,1
0.44,0.13,1
0.49,0.2,1
0.54,0.24,1
0.56,0.25,1
0.58,0.26,2
0.6,0.27,1
0.63,0.28,1
0.65,0.29,1
0.71,0.31,1
0.78,0.31,1
0.82,0.31,1
0.86,0.31,1
0.9,0.3,1
0.94,0.28,1
0.98,0.26,1
1.02,0.24,2
1.05,0.2,1
1.09,0.16,1
1.12,0.12,1
1.14,-0.06,1
1.13,-0.12,1
1.1,-0.17,1
1.06,-0.22,1
1.0,-0.25,1
0.95,-0.27,1
0.88,-0.27,1
0.82,-0.26,2
0.69,-0.12,1
0.8,0.24,1
0.97,0.32,1
1.3,-0.2,1
1.14,0.27,1
1.16,0.23,1
1.17,0.19,1
1.19,0.11,1
1.2,0.06,1
1.2,0.02,1
1.2,-0.03,1
1.2,-0.07,1
1.19,-0.12,1
1.18,-0.16,1
1.09,-0.36,1
1.06,-0.4,1
1.03,-0.43,1
1.0,-0.46,1
0.97,-0.49,1
0.94,-0.51,1
0.9,-0.53,1
0.87,-0.55,1
0.83,-0.56,1
0.79,-0.58,1
0.76,-0.58,1
0.65,-0.6,1
0.37,-0.51,1
0.16,0.24,3
0.18,0.29,1
0.23,0.42,1
0.26,0.47,1
0.29,0.53,1
0.37,0.64,1
0.42,0.71,1
0.48,0.77,1
0.66,0.92,1
0.79,0.99,1
0.95,1.06,1
1.16,1.11,1
1.42,1.12,1
1.74,1.05,1
2.1,0.84,1
2.4,0.44,1
2.49,-0.13,1
2.28,-0.69,1
1.84,-1.04,1
1.38,-1.14,1
1.0,-1.08,1
0.73,-0.93,1
0.54,-0.74,1
0.36,0.38,2
0.59,0.82,1
2.05,1.29,1
0.92,-1.16,1
0.43,0.51,1
0.48,0.52,1
0.51,0.52,1
0.53,0.52,2
0.56,0.52,1
0.58,0.52,1
0.61,0.51,1
0.64,0.51,1
0.67,0.5,1
0.69,0.49,1
0.72,0.49,1
0.75,0.47,1
0.78,0.46,1
0.86,0.41,1
0.89,0.39,2
0.91,0.37,1
0.94,0.35,1
0.96,0.32,1
0.98,0.3,1
1.0,0.27,1
1.04,0.2,1
1.05,0.17,1
1.07,0.1,1
1.08,0.06,1
1.09,0.02,1
1.08,-0.09,1
1.07,-0.13,1
1.06,-0.16,1
1.05,-0.2,1
1.03,-0.23,1
1.01,-0.26,1
0.99,-0.29,1
0.96,-0.32,2
0.91,-0.37,1
0.88,-0.39,1
0.82,-0.42,1
0.79,-0.43,1
0.76,-0.44,1
0.72,-0.44,2
0.69,-0.44,1
0.66,-0.44,1
0.6,-0.43,1
0.57,-0.42,1
0.52,-0.4,1
0.47,-0.37,1
0.44,-0.35,2
0.39,-0.29,1
0.34,-0.21,1
0.33,-0.18,2
0.32,-0.15,1
0.31,-0.02,1
0.31,0.02,1
0.31,0.06,1
0.34,0.18,1
0.35,0.22,1
0.37,0.27,1
0.4,0.32,1
0.43,0.37,2
0.47,0.43,1
0.52,0.49,1
0.58,0.54,1
0.76,0.66,1
0.89,0.71,1
1.05,0.74,1
1.25,0.74,1
1.5,0.65,1
1.74,0.44,1
1.89,0.09,1
1.83,-0.32,1
1.56,-0.64,1
1.2,-0.76,1
0.88,-0.7,1
0.65,-0.54,1
0.45,-0.09,1
0.77,0.64,1
2.13,-0.07,1
0.47,-0.01,6
0.47,-0.02,7
0.46,-0.01,5
0.47,0.03,2
0.49,0.07,1
0.5,0.08,4
0.54,0.11,1
0.59,0.15,4
0.6,0.15,1
0.64,0.17,1
0.67,0.18,1
0.69,0.18,1
0.71,0.18,1
0.72,0.18,2
0.74,0.18,1
0.76,0.18,1
0.78,0.18,1
0.83,0.17,2
0.85,0.16,1
0.87,0.15,1
0.89,0.14,2
0.91,0.12,1
0.93,0.1,1
0.94,0.08,1
0.96,0.06,1
0.97,0.01,1
0.97,-0.02,1
0.95,-0.09,1
0.93,-0.11,1
0.91,-0.12,1
0.86,-0.12,1
0.79,-0.05,1
0.79,-0.01,1
0.8,0.04,1
0.83,0.09,1
0.99,0.15,1
1.12,0.08,1
1.09,0.13,1
1.1,0.09,1
1.1,0.05,1
1.11,0.02,1
1.11,-0.02,1
1.1,-0.06,1
1.1,-0.1,1
1.09,-0.14,1
1.08,-0.17,1
1.07,-0.21,1
1.05,-0.24,1
1.04,-0.28,1
1.02,-0.31,1
1.0,-0.34,1
0.97,-0.37,1
0.95,-0.39,1
0.92,-0.42,1
0.89,-0.44,1
0.87,-0.46,2
0.84,-0.48,1
0.81,-0.49,1
0.78,-0.51,1
0.74,-0.52,1
0.71,-0.52,1
0.68,-0.53,2
0.65,-0.53,1
0.62,-0.54,1
0.59,-0.54,1
0.56,-0.53,1
0.53,-0.53,1
0.48,-0.52,1
0.42,-0.5,1
0.4,-0.48,1
0.31,-0.42,1
0.29,-0.41,1
0.28,-0.39,1
0.26,-0.37,1
0.23,-0.33,1
0.19,-0.26,1
0.18,-0.23,1
0.17,-0.21,1
0.17,-0.18,2
0.15,-0.11,1
0.15,-0.08,2
0.15,0.07,2
0.16,0.14,1
0.17,0.17,1
0.21,0.32,1
0.23,0.36,1
0.25,0.4,1
0.28,0.45,1
0.31,0.49,1
0.34,0.54,1
0.38,0.6,1
0.43,0.65,1
0.55,0.76,1
0.74,0.88,1
0.86,0.94,1
1.02,0.98,1
1.21,1.0,1
1.44,0.98,1
1.7,0.89,1
1.98,0.7,1
2.2,0.36,1
2.27,-0.08,1
2.14,-0.52,1
1.83,-0.85,1
1.46,-1.0,1
1.12,-1.0,1
0.85,-0.91,1
0.64,-0.77,1
0.34,0.17,1
0.75,0.89,1
2.4,0.83,1
0.8,-0.97,1
0.53,0.6,1
0.56,0.6,1
0.59,0.6,1
0.62,0.59,1
0.65,0.59,1
0.68,0.58,1
0.71,0.58,1
0.74,0.57,1
0.78,0.56,1
0.81,0.54,1
0.84,0.53,1
0.87,0.51,1
0.9,0.49,1
0.94,0.47,1
0.97,0.45,1
1.0,0.42,1
1.02,0.39,1
1.05,0.36,1
1.08,0.33,1
1.1,0.29,1
1.14,0.21,1
1.17,0.13,1
1.18,0.04,1
1.18,-0.01,1
1.18,-0.05,1
1.17,-0.14,1
1.15,-0.19,1
1.14,-0.23,1
1.12,-0.27,1
1.1,-0.31,1
1.07,-0.34,1
1.04,-0.38,1
1.01,-0.41,1
0.98,-0.43,1
0.94,-0.46,1
0.91,-0.48,1
0.87,-0.49,1
0.79,-0.52,1
0.76,-0.52,1
0.65,-0.52,1
0.55,-0.5,1
0.51,-0.49,1
0.48,-0.47,1
0.46,-0.46,1
0.27,-0.21,1
0.25,-0.14,1
0.25,-0.11,1
0.24,-0.07,1
0.25,0.08,1
0.25,0.12,1
0.26,0.17,1
0.27,0.21,1
0.29,0.26,1
0.34,0.36,1
0.37,0.42,1
0.41,0.48,1
0.52,0.61,1
0.59,0.68,1
0.69,0.76,1
0.83,0.83,1
1.0,0.88,1
1.22,0.91,1
1.51,0.87,1
1.84,0.68,1
2.1,0.3,1
2.14,-0.23,1
1.86,-0.7,1
1.41,-0.91,1
1.0,-0.89,1
0.71,-0.73,1
0.52,-0.52,1
0.38,-0.03,1
2.35,-0.52,1
0.42,0.08,3
0.45,0.08,3
0.47,0.08,2
0.49,0.08,2
0.54,0.07,2
0.67,0.06,2
0.69,0.06,3
0.74,0.06,1
0.75,0.06,1
0.83,0.05,1
0.87,0.04,1
0.91,0.01,1
0.92,0.01,1
0.92,0.0,1
0.93,-0.01,5
0.94,0.0,1
0.96,0.01,1
0.99,0.01,1
1.01,-0.02,1
0.99,-0.01,1
0.99,-0.04,1
0.98,-0.1,1
0.97,-0.13,1
0.96,-0.19,1
0.94,-0.22,1
0.93,-0.24,1
0.91,-0.27,1
0.86,-0.34,1
0.84,-0.36,1
0.77,-0.4,1
0.75,-0.42,1
0.72,-0.43,1
0.7,-0.44,1
0.67,-0.45,1
0.65,-0.45,1
0.62,-0.46,1
0.57,-0.46,1
0.52,-0.45,1
0.47,-0.45,1
0.45,-0.44,1
0.43,-0.43,1
0.39,-0.41,1
0.37,-0.4,1
0.33,-0.37,1
0.32,-0.36,1
0.3,-0.34,1
0.27,-0.31,1
0.25,-0.27,1
0.22,-0.23,1
0.21,-0.21,1
0.19,-0.12,2
0.18,-0.1,1
0.18,-0.05,1
0.18,0.0,1
0.18,0.03,1
0.19,0.11,1
0.22,0.24,1
0.24,0.27,1
0.31,0.42,1
0.34,0.46,1
0.37,0.5,1
0.41,0.54,1
0.45,0.58,1
0.5,0.63,1
0.56,0.67,1
0.63,0.72,1
0.72,0.76,1
0.81,0.8,1
0.93,0.84,1
1.07,0.85,1
1.23,0.85,1
1.41,0.8,1
1.61,0.7,1
1.8,0.53,1
1.95,0.28,1
2.0,-0.04,1
1.93,-0.36,1
1.74,-0.63,1
1.48,-0.8,1
1.2,-0.86,1
0.96,-0.83,1
0.76,-0.74,1
0.5,-0.48,1
0.37,0.02,1
0.4,0.24,1
0.96,0.9,1
2.38,0.25,1
0.74,-0.78,1
0.66,0.65,1
0.69,0.65,1
0.73,0.64,1
0.76,0.63,1
0.8,0.62,1
0.83,0.6,1
0.87,0.59,1
0.91,0.57,1
0.94,0.55,1
0.98,0.52,1
1.01,0.5,1
1.04,0.47,1
1.13,0.37,1
1.16,0.33,1
1.18,0.29,1
1.24,0.15,1
1.25,0.1,1
1.26,0.0,1
1.25,-0.1,1
1.24,-0.15,1
1.23,-0.2,1
1.21,-0.25,1
1.16,-0.34,2
1.13,-0.38,2
1.1,-0.42,1
1.07,-0.45,2
1.03,-0.48,1
0.99,-0.51,1
0.91,-0.55,1
0.87,-0.57,1
0.79,-0.59,1
0.74,-0.59,1
0.7,-0.59,1
0.59,-0.58,1
0.55,-0.57,1
0.52,-0.56,1
0.45,-0.53,1
0.4,-0.49,1
0.37,-0.46,1
0.2,-0.15,1
0.19,-0.08,1
0.19,-0.04,1
0.2,0.16,1
0.23,0.25,1
0.24,0.3,1
0.27,0.35,1
0.29,0.41,1
0.32,0.47,1
0.41,0.6,1
0.47,0.67,1
0.55,0.75,1
0.65,0.83,1
0.78,0.92,1
1.19,1.05,1
1.5,1.04,1
1.89,0.9,1
2.26,0.52,1
2.41,-0.09,1
2.15,-0.71,1
1.65,-1.04,1
1.15,-1.06,1
0.79,-0.91,1
0.56,-0.7,1
0.89,1.0,1
2.23,-1.07,1
0.38,0.17,2
0.4,0.17,1
0.42,0.18,1
0.45,0.18,1
0.46,0.18,1
0.47,0.18,1
0.48,0.18,1
0.52,0.17,1
0.53,0.17,1
0.54,0.17,1
0.56,0.16,1
0.58,0.15,1
0.62,0.13,1
0.63,0.13,1
0.64,0.12,1
0.64,0.11,1
0.68,0.08,2
0.68,0.07,1
0.71,0.01,2
0.71,0.0,1
0.71,-0.01,1
0.71,-0.02,2
0.7,-0.05,2
0.69,-0.06,2
0.68,-0.06,2
0.67,-0.06,2
0.66,-0.06,1
0.66,-0.05,2
0.65,-0.05,1
0.65,-0.04,1
0.65,-0.03,1
0.65,0.01,1
0.65,0.02,1
0.65,0.03,1
0.72,0.12,1
0.8,0.16,1
0.91,0.18,1
0.95,0.17,1
1.0,0.15,1
1.04,0.11,1
1.07,0.06,1
1.09,0.0,1
1.08,-0.07,1
1.05,-0.13,1
0.98,-0.16,1
0.84,-0.1,1
0.9,0.13,1
0.86,-0.09,1
0.85,-0.11,1
0.85,-0.13,1
0.84,-0.15,1
0.81,-0.21,1
0.8,-0.23,1
0.78,-0.25,1
0.77,-0.27,1
0.74,-0.3,2
0.72,-0.31,1
0.7,-0.32,1
0.69,-0.33,1
0.67,-0.34,1
0.65,-0.35,1
0.61,-0.36,1
0.59,-0.36,1
0.57,-0.37,1
0.55,-0.37,1
0.53,-0.37,1
0.51,-0.37,1
0.49,-0.37,1
0.48,-0.36,1
0.46,-0.36,1
0.42,-0.35,1
0.41,-0.34,1
0.37,-0.32,1
0.36,-0.31,1
0.33,-0.29,1
0.31,-0.26,1
0.3,-0.25,1
0.29,-0.23,1
0.28,-0.22,1
0.27,-0.2,1
0.26,-0.18,1
0.23,-0.11,1
0.23,-0.09,1
0.23,-0.07,1
0.22,0.0,1
0.23,0.04,1
0.23,0.07,1
0.24,0.12,1
0.25,0.14,1
0.26,0.2,1
0.28,0.22,1
0.29,0.25,1
0.32,0.31,1
0.39,0.41,1
0.45,0.47,1
0.49,0.51,1
0.53,0.54,1
0.64,0.61,1
0.71,0.64,1
0.78,0.67,1
0.87,0.69,1
0.97,0.7,1
1.09,0.69,1
1.21,0.67,1
1.35,0.61,1
1.48,0.52,1
1.61,0.39,1
1.7,0.21,1
1.73,-0.01,1
1.7,-0.23,1
1.59,-0.43,1
1.43,-0.58,1
1.24,-0.67,1
1.04,-0.69,1
0.87,-0.65,1
0.72,-0.58,1
0.61,-0.48,1
0.52,-0.37,1
0.46,-0.23,1
0.66,0.54,1
1.17,0.79,1
2.07,-0.12,1
0.82,0.65,1
0.89,0.62,1
1.11,0.46,1
1.14,0.42,2
1.22,0.3,1
1.3,0.0,1
1.28,-0.16,1
1.19,-0.36,2
0.98,-0.56,2
0.94,-0.58,2
0.89,-0.6,1
0.85,-0.61,1
0.81,-0.62,1
0.6,-0.62,1
0.46,-0.57,1
0.4,-0.54,1
0.37,-0.52,1
0.34,-0.49,1
0.26,-0.39,1
0.16,-0.15,1
0.15,0.03,1
0.16,0.11,1
0.17,0.2,1
0.18,0.24,1
0.2,0.29,1
0.24,0.4,1
0.27,0.45,1
0.34,0.58,1
0.39,0.65,1
0.45,0.73,1
0.53,0.81,1
0.63,0.9,1
0.76,0.99,1
0.94,1.07,1
1.18,1.14,1
1.5,1.16,1
1.91,1.04,1
2.34,0.69,1
2.58,0.06,1
2.4,-0.66,1
1.87,-1.1,1
1.31,-1.18,1
0.89,-1.05,1
0.62,-0.84,1
0.35,-0.38,1
0.41,0.52,1
1.05,1.2,1
1.8,-1.41,1
0.35,0.26,1
0.36,0.26,1
0.38,0.27,1
0.39,0.27,1
0.4,0.27,1
0.41,0.27,1
0.43,0.27,1
0.45,0.28,1
0.46,0.28,1
0.48,0.28,1
0.51,0.28,1
0.53,0.27,1
0.55,0.27,1
0.56,0.27,1
0.59,0.26,1
0.61,0.25,1
0.62,0.25,1
0.65,0.23,1
0.66,0.23,1
0.67,0.22,1
0.69,0.21,1
0.71,0.19,1
0.75,0.15,1
0.77,0.12,1
0.77,0.11,1
0.78,0.09,1
0.8,0.05,1
0.8,0.03,1
0.8,0.02,1
0.81,0.0,1
0.81,-0.02,1
0.8,-0.05,1
0.8,-0.06,1
0.79,-0.08,1
0.79,-0.09,1
0.76,-0.13,1
0.73,-0.16,1
0.72,-0.16,1
0.7,-0.17,1
0.68,-0.17,1
0.67,-0.18,1
0.63,-0.17,1
0.59,-0.15,1
0.58,-0.14,1
0.57,-0.13,1
0.55,-0.08,1
0.54,-0.07,1
0.54,-0.03,1
0.54,0.02,1
0.54,0.04,1
0.87,0.33,1
0.95,0.33,1
1.03,0.31,1
1.12,0.27,1
1.28,-0.06,1
1.11,-0.29,1
0.83,0.26,1
1.35,0.15,1
0.73,-0.11,1
0.72,-0.12,1
0.72,-0.14,1
0.71,-0.15,1
0.69,-0.18,1
0.67,-0.2,1
0.66,-0.21,1
0.65,-0.22,1
0.64,-0.23,1
0.61,-0.25,1
0.57,-0.26,3
0.53,-0.27,1
0.48,-0.27,1
0.46,-0.27,1
0.43,-0.26,1
0.41,-0.25,1
0.4,-0.25,1
0.39,-0.24,1
0.38,-0.23,1
0.37,-0.22,1
0.36,-0.21,1
0.35,-0.2,1
0.34,-0.19,1
0.32,-0.17,1
0.32,-0.16,1
0.29,-0.1,1
0.29,-0.07,1
0.28,-0.05,2
0.28,0.02,1
0.31,0.14,1
0.32,0.16,1
0.33,0.18,1
0.34,0.2,1
0.37,0.25,1
0.4,0.3,1
0.42,0.32,1
0.5,0.4,1
0.53,0.42,1
0.57,0.45,1
0.61,0.47,1
0.66,0.49,1
0.71,0.51,1
0.77,0.53,1
0.83,0.54,1
0.98,0.54,1
1.15,0.49,1
1.24,0.44,1
1.33,0.37,1
1.4,0.27,1
1.46,0.15,1
1.48,0.01,1
1.47,-0.13,1
1.42,-0.27,1
1.33,-0.38,1
1.21,-0.47,1
1.08,-0.51,1
0.51,-0.02,1
0.8,0.5,1
1.29,0.58,1
1.72,-0.25,1
0.75,-0.47,1
0.98,0.57,1
1.11,0.45,1
1.17,0.38,1
1.22,0.29,1
1.29,0.04,1
1.29,-0.01,1
1.1,-0.47,1
0.54,-0.62,1
0.47,-0.59,1
0.41,-0.56,1
0.26,0.5,1
0.45,0.77,1
0.64,0.94,1
0.77,1.03,1
0.95,1.12,1
1.19,1.18,1
1.51,1.2,1
1.92,1.1,1
2.36,0.78,1
2.64,0.17,1
2.53,-0.57,1
2.04,-1.08,1
1.47,-1.23,1
1.01,-1.14,1
0.7,-0.96,1
0.5,-0.74,1
0.3,0.23,1
0.45,0.64,1
1.33,1.37,1
1.35,-1.43,1
0.36,0.36,1
0.38,0.36,1
0.39,0.37,1
0.41,0.37,1
0.48,0.37,1
0.5,0.37,1
0.52,0.37,1
0.57,0.37,1
0.61,0.36,1
0.63,0.35,1
0.65,0.35,1
0.67,0.34,1
0.69,0.33,1
0.71,0.32,1
0.73,0.31,1
0.75,0.3,1
0.77,0.28,1
0.78,0.27,1
0.8,0.25,1
0.83,0.22,1
0.85,0.2,1
0.86,0.18,1
0.87,0.16,1
0.88,0.13,1
0.91,0.06,1
0.91,0.04,1
0.91,-0.01,1
0.91,-0.03,1
0.91,-0.08,1
0.9,-0.11,1
0.89,-0.13,1
0.88,-0.15,1
0.82,-0.22,1
0.81,-0.24,1
0.77,-0.26,1
0.75,-0.27,1
0.73,-0.28,1
0.71,-0.28,1
0.66,-0.28,1
0.62,-0.28,1
0.6,-0.27,1
0.53,-0.23,1
0.44,-0.01,1
0.44,0.05,1
0.57,0.31,1
0.67,0.39,1
0.73,0.43,1
0.81,0.46,1
0.91,0.48,1
1.02,0.48,1
1.16,0.46,1
1.3,0.38,1
1.43,0.24,1
1.5,0.03,1
1.46,-0.21,1
1.31,-0.4,1
1.09,-0.48,1
0.7,-0.34,1
0.59,0.09,1
0.79,0.4,2
1.61,0.17,1
0.61,-0.08,2
0.61,-0.09,1
0.6,-0.1,1
0.59,-0.12,1
0.58,-0.13,1
0.57,-0.14,1
0.54,-0.16,1
0.52,-0.17,1
0.48,-0.18,1
0.47,-0.18,1
0.45,-0.17,1
0.43,-0.16,1
0.42,-0.16,1
0.41,-0.15,2
0.39,-0.13,1
0.38,-0.12,1
0.37,-0.1,2
0.36,-0.07,1
0.35,-0.04,1
0.35,-0.03,1
0.35,-0.02,1
0.35,0.01,1
0.35,0.04,1
0.36,0.05,1
0.37,0.1,1
0.39,0.14,1
0.41,0.18,1
0.48,0.26,1
0.55,0.31,1
0.58,0.33,1
0.61,0.35,1
0.64,0.36,1
0.67,0.37,1
0.71,0.38,1
0.75,0.39,1
0.84,0.4,1
0.95,0.38,1
1.0,0.36,1
1.06,0.33,1
1.11,0.29,1
1.16,0.24,1
1.21,0.18,1
1.26,0.03,1
1.2,-0.22,1
1.14,-0.28,1
1.07,-0.33,1
0.98,-0.36,1
0.82,-0.34,1
0.61,0.03,1
0.73,0.28,1
0.93,0.4,1
1.3,0.34,1
1.43,-0.24,1
0.79,-0.33,1
1.09,0.42,1
1.12,0.39,1
1.14,0.35,1
1.17,0.31,1
1.19,0.27,1
1.2,0.22,1
1.22,0.18,1
1.23,0.13,1
1.24,0.08,1
1.25,0.04,1
1.25,-0.01,1
1.25,-0.06,1
1.24,-0.11,1
1.23,-0.16,1
1.22,-0.2,1
1.2,-0.25,1
1.18,-0.29,1
1.1,-0.41,1
1.04,-0.48,1
1.0,-0.51,1
0.85,-0.59,1
0.81,-0.6,1
0.77,-0.61,1
0.62,-0.62,1
0.32,-0.49,1
0.14,0.2,1
0.18,0.33,1
0.25,0.48,1
0.32,0.59,1
0.48,0.8,1
0.57,0.88,1
0.68,0.96,1
0.99,1.11,1
1.23,1.17,1
1.53,1.17,1
1.91,1.05,1
2.3,0.75,1
2.57,0.21,1
2.51,-0.45,1
2.12,-0.97,1
1.6,-1.18,1
1.14,-1.16,1
0.81,-1.02,1
0.58,-0.82,1
0.43,-0.62,1
0.33,0.32,1
0.52,0.76,1
1.76,1.4,1
1.04,-1.28,1
0.4,0.46,1
